,Price (Cr),Location,Area (Marla),Bedrooms,Bathrooms
0,2.1,3.5698529411764706,5.0,4,4
1,5.49,2.9976595744680847,10.0,6,7
2,4.15,2.9976595744680847,10.0,6,7
3,14.9,9.743124363636364,20.0,6,6
4,4.0,2.9976595744680847,10.0,5,6
5,3.5,4.157913669064748,8.0,5,6
6,125.0,15.967727272727274,200.0,10,6
7,22.0,9.743124363636364,40.0,5,6
8,16.2,11.531578947368422,14.0,3,3
9,3.4,3.583207547169811,7.0,5,7
10,13.5,10.208433734939758,10.0,6,6
11,3.4,9.743124363636364,7.0,2,3
12,4.5,7.064183673469388,4.0,3,5
13,1.4,1.4,4.0,5,5
14,29.0,52.91935483870968,22.0,6,6
15,1.0,15.967727272727274,4.3,2,2
16,2.85,4.080263157894737,7.0,5,6
17,0.95,2.1561538461538463,7.1,3,3
18,1.65,2.1561538461538463,6.5,3,3
19,1.55,1.4416666666666667,5.0,6,6
20,1.1,1.4416666666666667,5.0,3,3
21,3.1,2.1561538461538463,9.3,6,7
22,1.6,1.4416666666666667,5.0,6,7
23,1.45,1.525,7.0,3,3
24,0.55,2.4908333333333332,3.8,2,2
25,4.3,2.9976595744680847,10.0,5,6
26,3.85,2.9976595744680847,10.0,5,6
27,11.5,10.208433734939758,10.0,6,7
28,2.4,2.511978787878788,5.0,4,5
29,4.75,4.157913669064748,10.0,5,6
30,3.0,1.9485714285714286,7.0,5,5
31,5.8,18.38326530612245,3.8,1,1
32,9.5,18.38326530612245,8.7,3,3
33,10.9,9.743124363636364,20.0,6,6
34,4.3,4.3,8.0,5,6
35,2.7,3.5698529411764706,8.0,4,6
36,3.5,3.286363636363636,7.0,4,6
37,7.5,3.583207547169811,20.0,6,6
38,0.62,4.195,3.4,2,2
39,7.5,4.080263157894737,20.0,6,6
40,0.55,2.1561538461538463,3.5,2,2
41,3.8,2.4908333333333332,10.0,6,7
42,0.55,2.1561538461538463,2.5,1,1
43,3.9,2.1561538461538463,10.0,6,7
44,2.4,2.1561538461538463,7.0,6,7
45,3.9,2.1561538461538463,9.3,6,7
46,0.58,2.1561538461538463,3.8,2,2
47,1.2,2.511978787878788,6.7,3,3
48,9.95,9.743124363636364,20.0,6,6
49,10.9,9.743124363636364,20.0,5,6
50,10.5,4.157913669064748,20.0,6,6
51,4.85,7.064183673469388,8.0,5,7
52,4.3,10.208433734939758,4.0,4,4
53,13.5,10.208433734939758,10.0,5,6
54,2.35,4.157913669064748,5.0,3,5
55,2.8,2.511978787878788,5.0,4,6
56,3.95,2.511978787878788,8.0,4,5
57,1.35,15.967727272727274,3.3,1,1
58,2.5,3.583207547169811,8.0,3,4
59,2.5,2.584,5.0,3,4
60,3.2,3.2,7.0,4,6
61,0.75,2.9976595744680847,2.7,1,1
62,4.1,7.064183673469388,4.0,4,4
63,0.95,2.1561538461538463,5.6,3,3
64,3.75,2.4908333333333332,20.0,3,3
65,0.7,2.1561538461538463,3.8,2,2
66,1.15,1.4416666666666667,5.0,3,3
67,0.3,2.4908333333333332,1.8,1,1
68,27.0,10.208433734939758,20.0,11,7
69,0.58,2.4908333333333332,3.8,2,2
70,4.8,2.1561538461538463,20.0,9,7
71,5.5,4.157913669064748,10.0,4,6
72,5.65,10.208433734939758,5.0,4,4
73,5.45,11.531578947368422,6.6,4,4
74,3.0,3.5072727272727273,5.0,4,4
75,5.35,4.157913669064748,10.0,5,6
