Price (Cr),Location,Area (Marla),Bedrooms,Bathrooms
2.1,MPCHS Multi Gardens,5.0,4,4
5.49,Top City 1,10.0,6,7
4.15,Top City 1,10.0,6,7
14.9,DHA Defence,20.0,6,6
4.0,Top City 1,10.0,5,6
3.5,Bahria Enclave,8.0,5,6
125.0,Gulberg Greens,200.0,10,6
22.0,DHA Defence,40.0,5,6
16.2,G-9,14.0,3,3
3.4,Jinnah Gardens,7.0,5,7
13.5,D-12,10.0,6,6
3.4,DHA Defence,7.0,2,3
4.5,G-13,4.0,3,5
1.4,Park Road,4.0,5,5
29.0,F-7,22.0,6,6
1.0,Gulberg Greens,4.3,2,2
2.85,Soan Garden,7.0,5,6
0.95,Margalla View Housing Society,7.1,3,3
1.65,Margalla View Housing Society,6.5,3,3
1.55,Gulshan-e-Sehat 1 - Hamza Block,5.0,6,6
1.1,Gulshan-e-Sehat 1 - Hamza Block,5.0,3,3
3.1,Margalla View Housing Society,9.3,6,7
1.6,Gulshan-e-Sehat 1 - Hamza Block,5.0,6,7
1.45,Gulshan-e-Sehat 2 - Block G,7.0,3,3
0.55,D-17,3.8,2,2
4.3,Top City 1,10.0,5,6
3.85,Top City 1,10.0,5,6
11.5,D-12,10.0,6,7
2.4,B-17,5.0,4,5
4.75,Bahria Enclave,10.0,5,6
3.0,Bhara kahu,7.0,5,5
5.8,F-10,3.8,1,1
9.5,F-10,8.7,3,3
10.9,DHA Defence,20.0,6,6
4.3,River Garden,8.0,5,6
2.7,MPCHS Multi Gardens,8.0,4,6
3.5,CBR Town,7.0,4,6
7.5,Jinnah Gardens,20.0,6,6
0.62,PWD Housing Scheme,3.4,2,2
7.5,Soan Garden,20.0,6,6
0.55,Margalla View Housing Society,3.5,2,2
3.8,D-17,10.0,6,7
0.55,Margalla View Housing Society,2.5,1,1
3.9,Margalla View Housing Society,10.0,6,7
2.4,Margalla View Housing Society,7.0,6,7
3.9,Margalla View Housing Society,9.3,6,7
0.58,Margalla View Housing Society,3.8,2,2
1.2,B-17,6.7,3,3
9.95,DHA Defence,20.0,6,6
10.9,DHA Defence,20.0,5,6
10.5,Bahria Enclave,20.0,6,6
4.85,G-13,8.0,5,7
4.3,D-12,4.0,4,4
13.5,D-12,10.0,5,6
2.35,Bahria Enclave,5.0,3,5
2.8,B-17,5.0,4,6
3.95,B-17,8.0,4,5
1.35,Gulberg Greens,3.3,1,1
2.5,Jinnah Gardens,8.0,3,4
2.5,O-9,5.0,3,4
3.2,Korang Town,7.0,4,6
0.75,Top City 1,2.7,1,1
4.1,G-13,4.0,4,4
0.95,Margalla View Housing Society,5.6,3,3
3.75,D-17,20.0,3,3
0.7,Margalla View Housing Society,3.8,2,2
1.15,Gulshan-e-Sehat 1 - Hamza Block,5.0,3,3
0.3,D-17,1.8,1,1
27.0,D-12,20.0,11,7
0.58,D-17,3.8,2,2
4.8,Margalla View Housing Society,20.0,9,7
5.5,Bahria Enclave,10.0,4,6
5.65,D-12,5.0,4,4
5.45,G-9,6.6,4,4
3.0,Gulberg Residencia,5.0,4,4
5.35,Bahria Enclave,10.0,5,6
4.65,Bahria Enclave,10.0,5,6
7.5,Jinnah Gardens,20.0,6,7
16.5,G-9,14.0,7,6
7.5,DHA Defence,10.0,5,5
12.25,DHA Defence,20.0,6,7
8.0,G-13,10.0,6,7
7.9,G-13,10.0,6,7
8.85,G-13,10.0,6,7
2.5,B-17,5.0,4,6
8.9,G-13,10.0,6,7
1.75,Gulshan-e-Sehat 1 - Hamza Block,7.0,3,3
1.3,Gulshan-e-Sehat 2 - Block E,7.0,3,3
7.1,G-13,8.0,6,7
2.15,MPCHS Multi Gardens,5.0,4,5
8.9,MPCHS Multi Gardens,14.0,6,6
2.85,Soan Garden,8.0,5,6
5.0,O-9,20.0,6,6
12.45,DHA Defence,20.0,6,6
5.5,I-11,8.0,6,5
1.15,B-17,5.1,2,2
28.0,F-8,24.0,5,6
9.75,F-8,9.0,2,3
35.0,F-7,26.0,6,6
15.5,F-11,17.8,4,4
90.0,E-7,42.0,6,7
3.5,G-13,4.0,4,4
2.82,Zeta-1 Mall,4.4,2,2
10.75,DHA Defence,20.0,5,6
17.5,F-10,20.0,6,7
13.25,F-8,11.7,3,4
8.1,F-8,9.0,2,3
0.8,DHA Defence,3.6,2,2
1.3,DHA Defence,6.2,3,3
6.5,MPCHS Multi Gardens,20.0,6,6
81.0,F-7,72.0,4,6
45.0,F-8,17.8,6,5
33.0,F-6,32.0,4,5
4.2,Pakistan Town,10.0,6,6
2.65,Pakistan Town,5.0,4,5
7.5,Karakoram Diplomatic Enclave,8.9,2,3
16.5,I-8,14.0,6,6
24.0,I-8,24.0,8,6
11.5,DHA Defence,20.0,5,6
14.75,DHA Defence,20.0,6,7
4.1,G-13,4.0,4,4
5.6,G-13,7.0,4,4
3.2,Jinnah Gardens,7.0,5,5
11.9,I-8,13.2,7,7
1.47,DHA Valley,8.0,3,3
10.5,DHA Defence,20.0,6,6
3.1,Bahria Enclave,5.6,3,3
3.5,DHA Defence,11.0,4,3
3.3,Bahria Enclave,8.0,5,6
3.25,Bahria Enclave,8.0,6,6
4.35,Top City 1,10.0,5,7
2.8,PWD Housing Scheme,5.0,4,4
2.85,Soan Garden,7.0,5,6
3.5,CBR Town,7.0,5,5
3.7,CBR Town,10.0,5,6
1.5,DHA Defence,6.0,3,3
3.5,G-13,4.0,4,4
2.6,Bahria Enclave,5.0,3,3
2.35,Bahria Enclave,5.0,3,3
2.8,B-17,5.0,4,6
7.5,Top City 1,20.0,6,7
5.75,D-12,5.0,4,4
11.9,DHA Defence,20.0,5,6
4.8,Bahria Enclave,10.0,5,6
14.5,DHA Defence,20.0,5,5
4.09,Gulberg Residencia,7.0,5,5
8.0,E-11,10.0,6,6
1.0,MPCHS Multi Gardens,4.7,2,2
6.0,G-10,7.0,5,5
11.9,DHA Defence,20.0,6,7
13.9,DHA Defence,20.0,6,7
10.5,DHA Defence,20.0,6,6
10.5,Bani Gala,34.0,5,7
5.75,G-11,5.0,5,6
8.25,Naval Anchorage,20.0,6,6
3.2,DHA Defence,9.8,3,4
6.75,G-13,7.0,5,5
8.5,G-13,10.0,6,6
3.3,Jinnah Gardens,7.0,6,6
7.25,Soan Garden,20.0,8,6
7.25,Soan Garden,20.0,6,6
7.25,Soan Garden,20.0,6,6
2.35,Gulberg Greens,7.3,3,3
7.25,Jinnah Gardens,12.0,6,6
7.5,DHA Defence,10.0,5,5
12.0,D-12,10.0,6,7
2.5,F-18,5.0,5,5
5.75,D-12,5.0,5,6
35.0,Gulberg Greens,100.0,9,7
